SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PLUS_MINUS,SEASON_YEAR
22025,1610612747,LAL,Los Angeles Lakers,0022501155,2026-04-07,LAL vs. OKC,L,242,87,32,73,0.438,9,26,0.346,14,31,0.452,8,30,38,26,7,3,17,12,-36.0,2025
22025,1610612747,LAL,Los Angeles Lakers,0022501140,2026-04-05,LAL @ DAL,L,240,128,47,91,0.516,8,27,0.296,26,33,0.788,11,38,49,36,6,1,12,23,-6.0,2025
22025,1610612747,LAL,Los Angeles Lakers,0022501116,2026-04-02,LAL @ OKC,L,242,96,34,79,0.43,7,30,0.233,21,27,0.778,8,30,38,20,8,5,18,10,-43.0,2025
22025,1610612747,LAL,Los Angeles Lakers,0022501103,2026-03-31,LAL vs. CLE,W,240,127,45,83,0.542,13,31,0.419,24,26,0.923,8,29,37,26,9,4,10,19,14.0,2025
22025,1610612747,LAL,Los Angeles Lakers,0022501098,2026-03-30,LAL vs. WAS,W,241,120,44,79,0.557,7,24,0.292,25,32,0.781,9,39,48,29,7,7,15,15,19.0,2025
22025,1610612747,LAL,Los Angeles Lakers,0022501075,2026-03-27,LAL vs. BKN,W,239,116,38,70,0.543,11,25,0.44,29,42,0.69,6,42,48,18,9,9,13,16,17.0,2025
22025,1610612747,LAL,Los Angeles Lakers,0022501052,2026-03-25,LAL @ IND,W,239,137,50,89,0.562,9,23,0.391,28,34,0.824,7,32,39,30,15,4,13,22,7.0,2025
22025,1610612747,LAL,Los Angeles Lakers,0022501038,2026-03-23,LAL @ DET,L,240,110,38,79,0.481,8,29,0.276,26,31,0.839,9,30,39,27,6,6,12,18,-3.0,2025
22025,1610612747,LAL,Los Angeles Lakers,0022501024,2026-03-21,LAL @ ORL,W,240,105,39,87,0.448,8,32,0.25,19,29,0.655,14,29,43,19,11,6,12,20,1.0,2025
22025,1610612747,LAL,Los Angeles Lakers,0022501010,2026-03-19,LAL @ MIA,W,241,134,43,81,0.531,14,32,0.438,34,45,0.756,13,34,47,23,8,3,11,20,8.0,2025
22025,1610612747,LAL,Los Angeles Lakers,0022501007,2026-03-18,LAL @ HOU,W,242,124,46,76,0.605,15,32,0.469,17,27,0.63,5,29,34,30,6,8,13,20,8.0,2025
22025,1610612747,LAL,Los Angeles Lakers,0022500989,2026-03-16,LAL @ HOU,W,240,100,37,84,0.44,8,34,0.235,18,22,0.818,12,20,32,17,14,2,11,18,8.0,2025
22025,1610612747,LAL,Los Angeles Lakers,0022500974,2026-03-14,LAL vs. DEN,W,265,127,48,93,0.516,14,42,0.333,17,26,0.654,7,39,46,31,10,6,16,20,2.0,2025
22025,1610612747,LAL,Los Angeles Lakers,0022500960,2026-03-12,LAL vs. CHI,W,241,142,55,99,0.556,17,36,0.472,15,21,0.714,14,27,41,31,9,4,9,15,12.0,2025
22025,1610612747,LAL,Los Angeles Lakers,0022500946,2026-03-10,LAL vs. MIN,W,239,120,45,93,0.484,11,38,0.289,19,26,0.731,14,33,47,31,7,2,6,20,14.0,2025
22025,1610612747,LAL,Los Angeles Lakers,0022500922,2026-03-08,LAL vs. NYK,W,240,110,35,81,0.432,15,44,0.341,25,30,0.833,12,30,42,20,10,5,13,20,13.0,2025
22025,1610612747,LAL,Los Angeles Lakers,0022500914,2026-03-06,LAL vs. IND,W,242,128,45,85,0.529,17,37,0.459,21,23,0.913,6,37,43,25,5,2,12,22,11.0,2025
22025,1610612747,LAL,Los Angeles Lakers,0022500906,2026-03-05,LAL @ DEN,L,239,113,45,87,0.517,13,31,0.419,10,15,0.667,6,26,32,30,12,1,10,21,-7.0,2025
22025,1610612747,LAL,Los Angeles Lakers,0022500891,2026-03-03,LAL vs. NOP,W,240,110,39,83,0.47,11,37,0.297,21,26,0.808,11,37,48,29,7,12,21,17,9.0,2025
22025,1610612747,LAL,Los Angeles Lakers,0022500878,2026-03-01,LAL vs. SAC,W,241,128,47,94,0.5,18,39,0.462,16,22,0.727,9,28,37,34,14,9,9,12,24.0,2025
22025,1610612747,LAL,Los Angeles Lakers,0022500866,2026-02-28,LAL @ GSW,W,240,129,48,90,0.533,19,41,0.463,14,20,0.7,10,37,47,29,7,5,9,11,28.0,2025
22025,1610612747,LAL,Los Angeles Lakers,0022500855,2026-02-26,LAL @ PHX,L,240,110,38,75,0.507,11,29,0.379,23,26,0.885,10,29,39,20,8,2,12,15,-3.0,2025
22025,1610612747,LAL,Los Angeles Lakers,0022500840,2026-02-24,LAL vs. ORL,L,240,109,40,83,0.482,9,29,0.31,20,28,0.714,7,32,39,24,6,8,12,19,-1.0,2025
22025,1610612747,LAL,Los Angeles Lakers,0022500823,2026-02-22,LAL vs. BOS,L,238,89,34,87,0.391,9,30,0.3,12,18,0.667,8,31,39,18,7,5,8,19,-22.0,2025
22025,1610612747,LAL,Los Angeles Lakers,0022500809,2026-02-20,LAL vs. LAC,W,240,125,44,85,0.518,17,31,0.548,20,25,0.8,5,27,32,31,8,4,12,24,3.0,2025
22025,1610612747,LAL,Los Angeles Lakers,0022500791,2026-02-12,LAL vs. DAL,W,242,124,48,86,0.558,10,31,0.323,18,21,0.857,10,34,44,35,8,3,12,20,20.0,2025
22025,1610612747,LAL,Los Angeles Lakers,0022500774,2026-02-10,LAL vs. SAS,L,239,108,41,85,0.482,11,25,0.44,15,20,0.75,5,29,34,23,7,2,18,20,-28.0,2025
22025,1610612747,LAL,Los Angeles Lakers,0022500769,2026-02-09,LAL vs. OKC,L,240,110,42,84,0.5,10,31,0.323,16,23,0.696,9,28,37,25,7,2,15,21,-9.0,2025
22025,1610612747,LAL,Los Angeles Lakers,0022500753,2026-02-07,LAL vs. GSW,W,240,105,35,69,0.507,11,27,0.407,24,30,0.8,5,36,41,29,7,10,22,14,6.0,2025
22025,1610612747,LAL,Los Angeles Lakers,0022500740,2026-02-05,LAL vs. PHI,W,239,119,44,79,0.557,9,25,0.36,22,27,0.815,10,32,42,27,8,4,22,17,4.0,2025
22025,1610612747,LAL,Los Angeles Lakers,0022500719,2026-02-03,LAL @ BKN,W,243,125,46,85,0.541,7,31,0.226,26,39,0.667,10,31,41,25,14,0,12,13,16.0,2025
22025,1610612747,LAL,Los Angeles Lakers,0022500708,2026-02-01,LAL @ NYK,L,240,100,38,84,0.452,12,42,0.286,12,19,0.632,7,29,36,21,5,3,10,14,-12.0,2025
22025,1610612747,LAL,Los Angeles Lakers,0022500688,2026-01-30,LAL @ WAS,W,240,142,52,85,0.612,14,33,0.424,24,32,0.75,11,35,46,38,17,4,16,8,31.0,2025
22025,1610612747,LAL,Los Angeles Lakers,0022500671,2026-01-28,LAL @ CLE,L,240,99,39,81,0.481,9,32,0.281,12,18,0.667,8,28,36,21,7,3,16,16,-30.0,2025
22025,1610612747,LAL,Los Angeles Lakers,0022500661,2026-01-26,LAL @ CHI,W,239,129,46,82,0.561,16,33,0.485,21,29,0.724,3,32,35,26,7,3,6,15,10.6,2025
22025,1610612747,LAL,Los Angeles Lakers,0022500648,2026-01-24,LAL @ DAL,W,239,116,40,90,0.444,14,34,0.412,22,29,0.759,16,41,57,26,7,8,14,20,6.0,2025
22025,1610612747,LAL,Los Angeles Lakers,0022500633,2026-01-22,LAL @ LAC,L,241,104,40,88,0.455,11,33,0.333,13,18,0.722,6,28,34,24,14,8,10,17,-8.0,2025
22025,1610612747,LAL,Los Angeles Lakers,0022500617,2026-01-20,LAL @ DEN,W,240,115,42,83,0.506,10,25,0.4,21,32,0.656,10,41,51,24,3,2,12,18,8.0,2025
22025,1610612747,LAL,Los Angeles Lakers,0022500607,2026-01-18,LAL vs. TOR,W,239,110,41,85,0.482,14,36,0.389,14,17,0.824,9,39,48,25,6,6,15,15,17.0,2025
22025,1610612747,LAL,Los Angeles Lakers,0022500601,2026-01-17,LAL @ POR,L,240,116,42,85,0.494,13,31,0.419,19,21,0.905,7,20,27,25,8,6,15,25,-16.0,2025
22025,1610612747,LAL,Los Angeles Lakers,0022500586,2026-01-15,LAL vs. CHA,L,243,117,43,93,0.462,14,38,0.368,17,23,0.739,12,23,35,18,8,4,9,17,-18.0,2025
22025,1610612747,LAL,Los Angeles Lakers,0022500569,2026-01-13,LAL vs. ATL,W,241,141,48,83,0.578,19,34,0.559,26,30,0.867,10,37,47,36,2,3,14,17,25.0,2025
22025,1610612747,LAL,Los Angeles Lakers,0022500562,2026-01-12,LAL @ SAC,L,241,112,41,84,0.488,8,36,0.222,22,28,0.786,12,27,39,21,9,2,10,9,-12.0,2025
22025,1610612747,LAL,Los Angeles Lakers,0022500541,2026-01-09,LAL vs. MIL,L,239,101,39,91,0.429,15,36,0.417,8,14,0.571,15,30,45,28,9,0,12,20,-4.0,2025
22025,1610612747,LAL,Los Angeles Lakers,0022500523,2026-01-07,LAL @ SAS,L,239,91,34,86,0.395,9,39,0.231,14,22,0.636,10,35,45,16,9,2,17,21,-16.0,2025
22025,1610612747,LAL,Los Angeles Lakers,0022500514,2026-01-06,LAL @ NOP,W,240,111,43,85,0.506,11,31,0.355,14,21,0.667,9,35,44,30,11,6,14,21,8.0,2025
22025,1610612747,LAL,Los Angeles Lakers,0022500501,2026-01-04,LAL vs. MEM,W,240,120,38,80,0.475,11,41,0.268,33,41,0.805,8,37,45,30,4,6,10,18,6.0,2025
22025,1610612747,LAL,Los Angeles Lakers,0022500485,2026-01-02,LAL vs. MEM,W,240,128,45,77,0.584,11,32,0.344,27,31,0.871,6,36,42,26,9,4,20,21,7.0,2025
22025,1610612747,LAL,Los Angeles Lakers,0022500460,2025-12-30,LAL vs. DET,L,239,106,37,82,0.451,11,39,0.282,21,31,0.677,11,22,33,28,10,3,20,24,-22.0,2025
22025,1610612747,LAL,Los Angeles Lakers,0022500446,2025-12-28,LAL vs. SAC,W,240,125,47,89,0.528,15,38,0.395,16,18,0.889,8,33,41,25,14,4,15,19,24.0,2025
22025,1610612747,LAL,Los Angeles Lakers,0022500012,2025-12-25,LAL vs. HOU,L,238,96,39,77,0.506,11,30,0.367,7,11,0.636,7,18,25,19,7,5,16,17,-23.0,2025
22025,1610612747,LAL,Los Angeles Lakers,0022500418,2025-12-23,LAL @ PHX,L,240,108,39,81,0.481,12,32,0.375,18,29,0.621,14,24,38,22,7,4,17,22,-24.0,2025
22025,1610612747,LAL,Los Angeles Lakers,0022500395,2025-12-20,LAL @ LAC,L,241,88,34,88,0.386,6,38,0.158,14,23,0.609,14,29,43,16,7,3,11,19,-15.0,2025
22025,1610612747,LAL,Los Angeles Lakers,0022500379,2025-12-18,LAL @ UTA,W,240,143,49,93,0.527,13,39,0.333,32,39,0.821,13,35,48,32,7,2,7,31,8.0,2025
22025,1610612747,LAL,Los Angeles Lakers,0022501228,2025-12-14,LAL @ PHX,W,240,116,38,88,0.432,7,37,0.189,33,43,0.767,24,30,54,20,13,8,21,23,2.0,2025
